Region,Population,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75+
AOC,General,32,32,32,16,16,16,16,16,16,16,16,16,16
Reference,General,32,32,32,32,16,16,16,16,12,12,12,8,8
