"","spec","pop_id","pop_name","length_id","length_name","adv_level","adv_cause","restrictive"
"81","Rock Bass",2,"Sensitive",15,"15-20cm",4,"Mercury, PFAS",TRUE
"82","Rock Bass",2,"Sensitive",20,"20-25cm",4,"Mercury, PFAS",TRUE
"83","Bluegill",1,"General",15,"15-20cm",4,"PFAS",TRUE
"84","Bluegill",2,"Sensitive",15,"15-20cm",4,"PFAS",TRUE
"85","Smallmouth Bass",1,"General",15,"15-20cm",4,"PFAS",TRUE
"86","Smallmouth Bass",1,"General",20,"20-25cm",4,"PFAS",TRUE
"87","Smallmouth Bass",1,"General",25,"25-30cm",4,"PFAS",TRUE
"88","Smallmouth Bass",1,"General",30,"30-35cm",4,"PFAS",TRUE
"89","Smallmouth Bass",1,"General",35,"35-40cm",4,"PFAS",TRUE
"90","Smallmouth Bass",1,"General",40,"40-45cm",4,"PFAS",TRUE
"91","Smallmouth Bass",1,"General",45,"45-50cm",4,"Mercury",TRUE
"92","Smallmouth Bass",1,"General",50,"50-55cm",4,"PFAS",TRUE
"93","Smallmouth Bass",2,"Sensitive",15,"15-20cm",4,"PFAS",TRUE
"94","Smallmouth Bass",2,"Sensitive",20,"20-25cm",4,"PFAS",TRUE
"95","Smallmouth Bass",2,"Sensitive",25,"25-30cm",4,"Mercury",TRUE
"96","Smallmouth Bass",2,"Sensitive",30,"30-35cm",4,"Mercury",TRUE
"97","Smallmouth Bass",2,"Sensitive",35,"35-40cm",4,"Mercury",TRUE
"98","Smallmouth Bass",2,"Sensitive",40,"40-45cm",0,"Mercury",TRUE
"99","Smallmouth Bass",2,"Sensitive",45,"45-50cm",0,"Mercury",TRUE
"100","Smallmouth Bass",2,"Sensitive",50,"50-55cm",0,"Mercury",TRUE
"101","Largemouth Bass",1,"General",15,"15-20cm",8,"PFAS",TRUE
"102","Largemouth Bass",1,"General",20,"20-25cm",8,"PFAS",TRUE
"103","Largemouth Bass",1,"General",25,"25-30cm",8,"PFAS",TRUE
"104","Largemouth Bass",1,"General",30,"30-35cm",8,"PFAS",TRUE
"105","Largemouth Bass",1,"General",35,"35-40cm",8,"Mercury, PFAS",TRUE
"106","Largemouth Bass",1,"General",40,"40-45cm",4,"Mercury, PFAS",TRUE
"107","Largemouth Bass",1,"General",45,"45-50cm",4,"Mercury, PFAS",TRUE
"108","Largemouth Bass",2,"Sensitive",15,"15-20cm",8,"PFAS",TRUE
"109","Largemouth Bass",2,"Sensitive",20,"20-25cm",8,"PFAS",TRUE
"110","Largemouth Bass",2,"Sensitive",25,"25-30cm",8,"Mercury, PFAS",TRUE
"111","Largemouth Bass",2,"Sensitive",30,"30-35cm",4,"Mercury",TRUE
"112","Largemouth Bass",2,"Sensitive",35,"35-40cm",0,"Mercury",TRUE
"113","Largemouth Bass",2,"Sensitive",40,"40-45cm",0,"Mercury",TRUE
"114","Largemouth Bass",2,"Sensitive",45,"45-50cm",0,"Mercury",TRUE
"115","Yellow Perch",1,"General",15,"15-20cm",4,"PFAS",TRUE
"116","Yellow Perch",1,"General",20,"20-25cm",4,"PFAS",TRUE
"117","Yellow Perch",1,"General",25,"25-30cm",4,"PFAS",TRUE
"118","Yellow Perch",1,"General",30,"30-35cm",4,"Mercury, PFAS",TRUE
"119","Yellow Perch",2,"Sensitive",15,"15-20cm",4,"PFAS",TRUE
"120","Yellow Perch",2,"Sensitive",20,"20-25cm",4,"PFAS",TRUE
"121","Yellow Perch",2,"Sensitive",25,"25-30cm",4,"PFAS",TRUE
"122","Yellow Perch",2,"Sensitive",30,"30-35cm",0,"Mercury",TRUE
"123","Walleye",1,"General",15,"15-20cm",4,"PFAS",TRUE
"124","Walleye",1,"General",20,"20-25cm",4,"PFAS",TRUE
"125","Walleye",1,"General",25,"25-30cm",4,"PFAS",TRUE
"126","Walleye",1,"General",30,"30-35cm",4,"PFAS",TRUE
"127","Walleye",1,"General",35,"35-40cm",4,"PFAS",TRUE
"128","Walleye",1,"General",40,"40-45cm",4,"PFAS",TRUE
"129","Walleye",1,"General",45,"45-50cm",4,"PFAS",TRUE
"130","Walleye",1,"General",50,"50-55cm",4,"PFAS",TRUE
"131","Walleye",1,"General",55,"55-60cm",4,"PFAS",TRUE
